ID Year,Year,ID University,University,ID CIP6,CIP6,Completions,Slug University,ID Sex,Sex
2022,"2022","153603","Iowa State University","110103","Information Technology",243,"iowa-state-university",1,"Men"
2022,"2022","153603","Iowa State University","141901","Mechanical Engineering",355,"iowa-state-university",1,"Men"
2022,"2022","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",170,"iowa-state-university",1,"Men"
2022,"2022","153603","Iowa State University","520801","General Finance",183,"iowa-state-university",1,"Men"
2022,"2022","153603","Iowa State University","521401","General Marketing & Marketing Management",174,"iowa-state-university",1,"Men"
2022,"2022","153603","Iowa State University","110103","Information Technology",83,"iowa-state-university",2,"Women"
2022,"2022","153603","Iowa State University","141901","Mechanical Engineering",51,"iowa-state-university",2,"Women"
2022,"2022","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",65,"iowa-state-university",2,"Women"
2022,"2022","153603","Iowa State University","520801","General Finance",57,"iowa-state-university",2,"Women"
2022,"2022","153603","Iowa State University","521401","General Marketing & Marketing Management",126,"iowa-state-university",2,"Women"
2021,"2021","153603","Iowa State University","110103","Information Technology",202,"iowa-state-university",1,"Men"
2021,"2021","153603","Iowa State University","141901","Mechanical Engineering",394,"iowa-state-university",1,"Men"
2021,"2021","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",148,"iowa-state-university",1,"Men"
2021,"2021","153603","Iowa State University","520801","General Finance",217,"iowa-state-university",1,"Men"
2021,"2021","153603","Iowa State University","521401","General Marketing & Marketing Management",147,"iowa-state-university",1,"Men"
2021,"2021","153603","Iowa State University","110103","Information Technology",81,"iowa-state-university",2,"Women"
2021,"2021","153603","Iowa State University","141901","Mechanical Engineering",57,"iowa-state-university",2,"Women"
2021,"2021","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",49,"iowa-state-university",2,"Women"
2021,"2021","153603","Iowa State University","520801","General Finance",65,"iowa-state-university",2,"Women"
2021,"2021","153603","Iowa State University","521401","General Marketing & Marketing Management",123,"iowa-state-university",2,"Women"
2020,"2020","153603","Iowa State University","110103","Information Technology",216,"iowa-state-university",1,"Men"
2020,"2020","153603","Iowa State University","141901","Mechanical Engineering",381,"iowa-state-university",1,"Men"
2020,"2020","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",142,"iowa-state-university",1,"Men"
2020,"2020","153603","Iowa State University","520801","General Finance",213,"iowa-state-university",1,"Men"
2020,"2020","153603","Iowa State University","521401","General Marketing & Marketing Management",164,"iowa-state-university",1,"Men"
2020,"2020","153603","Iowa State University","110103","Information Technology",71,"iowa-state-university",2,"Women"
2020,"2020","153603","Iowa State University","141901","Mechanical Engineering",48,"iowa-state-university",2,"Women"
2020,"2020","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",55,"iowa-state-university",2,"Women"
2020,"2020","153603","Iowa State University","520801","General Finance",60,"iowa-state-university",2,"Women"
2020,"2020","153603","Iowa State University","521401","General Marketing & Marketing Management",164,"iowa-state-university",2,"Women"
2019,"2019","153603","Iowa State University","110103","Information Technology",239,"iowa-state-university",1,"Men"
2019,"2019","153603","Iowa State University","141901","Mechanical Engineering",425,"iowa-state-university",1,"Men"
2019,"2019","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",128,"iowa-state-university",1,"Men"
2019,"2019","153603","Iowa State University","520801","General Finance",210,"iowa-state-university",1,"Men"
2019,"2019","153603","Iowa State University","521401","General Marketing & Marketing Management",165,"iowa-state-university",1,"Men"
2019,"2019","153603","Iowa State University","110103","Information Technology",61,"iowa-state-university",2,"Women"
2019,"2019","153603","Iowa State University","141901","Mechanical Engineering",48,"iowa-state-university",2,"Women"
2019,"2019","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",60,"iowa-state-university",2,"Women"
2019,"2019","153603","Iowa State University","520801","General Finance",73,"iowa-state-university",2,"Women"
2019,"2019","153603","Iowa State University","521401","General Marketing & Marketing Management",183,"iowa-state-university",2,"Women"
2018,"2018","153603","Iowa State University","110103","Information Technology",18,"iowa-state-university",1,"Men"
2018,"2018","153603","Iowa State University","141901","Mechanical Engineering",396,"iowa-state-university",1,"Men"
2018,"2018","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",137,"iowa-state-university",1,"Men"
2018,"2018","153603","Iowa State University","520801","General Finance",194,"iowa-state-university",1,"Men"
2018,"2018","153603","Iowa State University","521401","General Marketing & Marketing Management",136,"iowa-state-university",1,"Men"
2018,"2018","153603","Iowa State University","110103","Information Technology",18,"iowa-state-university",2,"Women"
2018,"2018","153603","Iowa State University","141901","Mechanical Engineering",35,"iowa-state-university",2,"Women"
2018,"2018","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",65,"iowa-state-university",2,"Women"
2018,"2018","153603","Iowa State University","520801","General Finance",78,"iowa-state-university",2,"Women"
2018,"2018","153603","Iowa State University","521401","General Marketing & Marketing Management",131,"iowa-state-university",2,"Women"
2017,"2017","153603","Iowa State University","110103","Information Technology",16,"iowa-state-university",1,"Men"
2017,"2017","153603","Iowa State University","141901","Mechanical Engineering",379,"iowa-state-university",1,"Men"
2017,"2017","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",125,"iowa-state-university",1,"Men"
2017,"2017","153603","Iowa State University","520801","General Finance",168,"iowa-state-university",1,"Men"
2017,"2017","153603","Iowa State University","521401","General Marketing & Marketing Management",136,"iowa-state-university",1,"Men"
2017,"2017","153603","Iowa State University","110103","Information Technology",10,"iowa-state-university",2,"Women"
2017,"2017","153603","Iowa State University","141901","Mechanical Engineering",38,"iowa-state-university",2,"Women"
2017,"2017","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",54,"iowa-state-university",2,"Women"
2017,"2017","153603","Iowa State University","520801","General Finance",71,"iowa-state-university",2,"Women"
